"","genus_species","species","genus","family","order","class","redlistCategory","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"204","Sminthopsis psammophila","psammophila","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Vulnerable",7,54,6,6,0,12,4,0.333,1,2
"205","Sminthopsis virginiae","virginiae","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",14,364,9,14,0,34,7,0.206,7,1
"206","Sminthopsis youngsoni","youngsoni","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",16,467,11,16,0,28,9,0.321,9,2
"207","Spilocuscus kraemeri","kraemeri","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Near Threatened",4,19,3,3,1,25,3,0.12,1,0
"208","Spilocuscus maculatus","maculatus","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",11,117,9,8,1,30,4,0.133,2,2
"209","Spilocuscus papuensis","papuensis","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Vulnerable",0,0,0,0,0,NA,0,0,0,0
"210","Spilocuscus rufoniger","rufoniger","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"211","Spilocuscus wilsoni","wilsoni","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"212","Strigocuscus celebensis","celebensis","Strigocuscus","Phalangeridae","Diprotodontia","Mammalia","Vulnerable",6,103,6,6,0,27,5,0.185,5,1
"213","Strigocuscus pelengensis","pelengensis","Strigocuscus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",1,3,1,1,0,2,1,0.5,0,1
"214","Tarsipes rostratus","rostratus","Tarsipes","Tarsipedidae","Diprotodontia","Mammalia","Least Concern",52,1068,28,49,2,37,18,0.486,38,1
"215","Thylogale billardierii","billardierii","Thylogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",91,1823,50,87,2,61,23,0.377,57,2
"216","Thylogale browni","browni","Thylogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",3,6,3,3,0,16,2,0.125,0,0
"217","Thylogale brunii","brunii","Thylogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",4,154,4,4,0,30,4,0.133,3,0
"218","Thylogale calabyi","calabyi","Thylogale","Macropodidae","Diprotodontia","Mammalia","Endangered",0,0,0,0,0,NA,0,0,0,0
"219","Thylogale lanatus","lanatus","Thylogale","Macropodidae","Diprotodontia","Mammalia","Endangered",0,0,0,0,0,NA,0,0,0,0
"220","Thylogale stigmatica","stigmatica","Thylogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",42,521,29,38,1,42,14,0.333,18,2
"221","Thylogale thetis","thetis","Thylogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",45,779,19,44,0,44,18,0.409,27,1
"222","Trichosurus caninus","caninus","Trichosurus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",77,2169,33,74,2,49,28,0.571,57,2
"223","Trichosurus cunninghami","cunninghami","Trichosurus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",34,546,20,32,1,19,15,0.789,20,1
"224","Trichosurus vulpecula","vulpecula","Trichosurus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",1534,27071,363,0,0,106,61,0.575,859,10
"225","Vombatus ursinus","ursinus","Vombatus","Vombatidae","Diprotodontia","Mammalia","Least Concern",180,2877,82,167,10,48,31,0.646,83,8
"226","Wallabia bicolor","bicolor","Wallabia","Macropodidae","Diprotodontia","Mammalia","Least Concern",197,3540,82,192,4,53,31,0.585,101,7
"227","Wyulda squamicaudata","squamicaudata","Wyulda","Phalangeridae","Diprotodontia","Mammalia","Near Threatened",8,102,6,8,0,37,6,0.162,5,0
