"","genus_species","species","genus","family","order","class","redlistCategory","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"69","Isoodon obesulus","obesulus","Isoodon","Peramelidae","Peramelemorphia","Mammalia","Least Concern",160,2407,69,157,2,69,26,0.377,95,8
"70","Lagorchestes conspicillatus","conspicillatus","Lagorchestes","Macropodidae","Diprotodontia","Mammalia","Least Concern",33,328,25,30,3,107,12,0.112,15,2
"71","Lagorchestes hirsutus","hirsutus","Lagorchestes","Macropodidae","Diprotodontia","Mammalia","Vulnerable",32,695,17,29,2,43,15,0.349,20,2
"72","Lagostrophus fasciatus","fasciatus","Lagostrophus","Macropodidae","Diprotodontia","Mammalia","Vulnerable",25,509,17,21,4,61,12,0.197,14,2
"73","Lasiorhinus krefftii","krefftii","Lasiorhinus","Vombatidae","Diprotodontia","Mammalia","Critically Endangered",45,2441,24,42,3,36,19,0.528,28,3
"74","Lasiorhinus latifrons","latifrons","Lasiorhinus","Vombatidae","Diprotodontia","Mammalia","Near Threatened",124,1672,49,114,6,55,22,0.4,59,5
"75","Macropus agilis","agilis","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",62,1057,37,0,0,45,18,0.4,35,3
"76","Macropus antilopinus","antilopinus","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",15,366,11,14,1,50,10,0.2,10,2
"77","Macropus bernardus","bernardus","Macropus","Macropodidae","Diprotodontia","Mammalia","Near Threatened",7,178,6,6,1,50,6,0.12,5,0
"78","Macropus dorsalis","dorsalis","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",41,603,23,39,2,42,16,0.381,24,1
"79","Macropus eugenii","eugenii","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",962,18408,273,899,26,99,53,0.535,607,9
"80","Macropus fuliginosus","fuliginosus","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",211,3283,96,204,2,97,29,0.299,111,5
"81","Macropus giganteus","giganteus","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",430,7569,150,409,10,94,42,0.447,236,9
